population;mutation factor;crossover chance;selection;succession;crossover mode;score
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;832.4061240452776
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;830.261387076477
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;845.1587320538265
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;819.5255136613861
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;846.4529562229111
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;814.5565788725137
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;823.1946610504868
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;825.9189331558524
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;833.3916114492691
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;814.3157850196661
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;846.3972116515694
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;788.420335709848
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;821.615526030746
